#{"t_start": 1587269478.2896154, "env_id": "MountainCarContinuous-v0"}
r,l,t
-0.018702,999,412.953032
-0.018534,999,414.21178
-0.016615,999,415.482536
-0.017285,999,416.665829
-0.017194,999,417.934598
-0.016604,999,419.177792
-0.017203,999,420.401338
-0.018035,999,421.640262
-0.01587,999,422.85525
-0.018049,999,424.136912
-0.015289,999,425.444398
-0.015802,999,426.724491
-0.015228,999,428.032728
-0.016093,999,429.300641
-0.01452,999,430.671447
-0.014305,999,432.029519
-0.013274,999,433.430033
-0.014163,999,434.728522
-0.013082,999,435.949232
-0.013062,999,437.255047
-0.013972,999,438.538718
-0.012901,999,439.830571
-0.011636,999,441.123518
-0.011906,999,442.353416
-0.012707,999,443.666375
-0.012741,999,444.966214
-0.01182,999,446.254215
-0.011015,999,447.537056
-0.010039,999,448.761966
-0.010817,999,450.042197
-0.010696,999,451.340065
-0.010177,999,452.656631
-0.009537,999,453.932908
-0.010377,999,455.10867
-0.009482,999,456.373519
-0.009523,999,457.660474
-0.008884,999,458.958892
-0.009587,999,460.27265
-0.008777,999,461.51952
-0.009195,999,462.754115
-0.010418,999,464.050376
-0.008508,999,465.330153
-0.009096,999,466.618496
-0.008535,999,467.921188
-0.008295,999,469.139087
-0.007901,999,470.447547
-0.008387,999,471.716458
-0.007776,999,472.959834
-0.007436,999,474.215535
-0.008133,999,475.400677
-0.00831,999,476.657826
-0.006923,999,477.900858
-0.007425,999,479.15452
-0.007232,999,480.407635
-0.007343,999,481.588094
-0.006819,999,482.840839
-0.006979,999,484.077012
-0.006836,999,485.307239
-0.006496,999,486.555952
-0.0075,999,487.722484
-0.009119,999,488.979027
-0.007618,999,490.270491
-0.00676,999,491.576338
-0.006666,999,492.864355
-0.00688,999,494.096591
-0.006759,999,495.348265
-0.006848,999,496.655573
-0.009325,999,497.951403
-0.007518,999,499.24602
-0.00593,999,500.46196
-0.006204,999,501.745687
-0.00624,999,503.029203
-0.005847,999,504.315786
-0.005403,999,505.615223
-0.006752,999,506.847769
-0.005324,999,508.152839
-0.00594,999,509.454436
-0.005548,999,510.747485
-0.005409,999,512.052347
-0.005455,999,513.316293
-0.005666,999,514.562454
-0.005516,999,515.834546
-0.005535,999,517.133303
-0.005749,999,518.422779
-0.005475,999,519.711795
-0.00528,999,520.991961
-0.005789,999,522.286283
-0.005089,999,523.580492
-0.005174,999,524.865879
-0.005374,999,526.179254
-0.005429,999,527.405003
-0.004774,999,528.691468
-0.005192,999,529.986453
-0.007285,999,531.312802
-0.006174,999,532.608563
-0.005528,999,533.823144
-0.005652,999,535.11515
-0.005071,999,536.419289
-0.005001,999,537.717339
-0.005045,999,539.005335
-0.004757,999,540.263339
-0.004958,999,541.586296
-0.004743,999,542.899421
-0.004693,999,544.199573
-0.004248,999,545.499858
-0.004855,999,546.728763
-0.006687,999,548.012843
-0.007215,999,549.312538
-0.006676,999,550.628426
-0.006992,999,551.916129
-0.005989,999,553.121796
-0.004369,999,554.426666
-0.004365,999,555.751413
-0.00416,999,557.048647
-0.004283,999,558.337095
-0.004267,999,559.572594
-0.004094,999,560.849907
-0.005325,999,562.155078
-0.005721,999,563.451186
-0.004376,999,564.723118
-0.004341,999,565.990897
-0.003918,999,567.253138
-0.004232,999,568.537474
-0.004555,999,569.82787
-0.003722,999,571.125967
