Wall time,Step,Value
1587270230.4006023,21519,-99.96662902832031
1587270231.2876346,21920,-331.0731506347656
1587270231.5023253,22056,-22.18910789489746
1587270231.7347128,22172,-31.89168930053711
1587270232.1902096,22344,-22.808574676513672
1587270232.4180965,22463,24.266483306884766
1587270232.6281626,22606,-67.63900756835938
1587270233.2601814,22945,-335.2112121582031
1587270233.7430406,23141,-18.270774841308594
1587270233.970481,23298,-14.86275577545166
1587270234.2174127,23470,-39.56672286987305
1587270235.3688607,23883,-130.1576690673828
1587270235.5961843,24014,10.223043441772461
1587270235.5962532,24117,-29.987064361572266
1587270236.072694,24363,-21.102813720703125
1587270236.5442085,24568,-26.378883361816406
1587270237.0319057,24799,-44.028282165527344
1587270237.0319717,24882,3.427048683166504
1587270237.2569065,24987,-42.618438720703125
1587270238.1189873,25331,-150.3267364501953
1587270238.3470218,25517,8.435873985290527
1587270239.4735546,25942,-291.3310241699219
1587270240.4030924,26375,2.572448253631592
1587270241.1951659,26720,-315.57891845703125
1587270242.9396737,27352,-35.542781829833984
1587270243.173069,27499,29.9132137298584
1587270243.6746633,27761,-56.94444274902344
1587270244.1914496,28022,-116.62464141845703
1587270244.4423985,28221,-55.62931442260742
1587270244.6720471,28378,-149.82687377929688
1587270245.126134,28518,17.195892333984375
1587270245.3817034,28731,-127.41377258300781
1587270245.62705,28849,-52.758399963378906
1587270245.894169,29018,-69.35771942138672
1587270246.387904,29236,-211.92909240722656
1587270246.9393716,29531,-258.99761962890625
1587270247.4037092,29724,-81.31643676757812
1587270247.8890455,29968,-162.7637939453125
1587270248.4206247,30276,-48.15797424316406
1587270249.2432766,30579,-59.190616607666016
1587270249.8068235,30909,-307.09344482421875
1587270250.0451646,31078,9.533188819885254
1587270253.7528949,32086,16.016237258911133
1587270254.2887564,32365,33.84968185424805
1587270255.2104697,32754,-126.34661102294922
1587270256.407663,33207,-183.998291015625
1587270256.9541533,33468,20.08404541015625
1587270261.1775196,34476,95.40337371826172
1587270263.0610118,35070,-130.62049865722656
1587270266.514425,36078,-2.071464776992798
1587270268.6282916,36709,-107.22360229492188
1587270272.4085858,37717,-189.84910583496094
1587270274.3240426,38320,-97.64378356933594
